Serie,Sysser,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw,mean_response,median_response,min_response,max_response,std_response,n_records
Il Moro di Venezia' Series,IACC 6,0.556,0.692,0.383,0.707,4.419902913,5.802816901,25.64788732,6.660134227,-0.0072,-0.0326,0.220858896,7.688875554,7.100304704,1.082893745,28.45544554,0.038055765,25.500844098875,10.0416997815,2.516309177,95.99054204,33.60869052167209,8
Il Moro di Venezia' Series,IACC 7,0.526,0.694,0.362,0.675,4.569343066,5.630136986,25.7260274,6.875340236,-0.0138,-0.0427,0.323185012,7.6208615,6.984226042,1.091153329,27.60194175,0.03953176,16.208798687714285,8.274688712,2.559960005,62.02937677,20.990084459872552,7
Il Moro di Venezia' Series,IACC 9,0.535,0.681,0.357,0.686,5.188365651,4.247058824,22.03529412,6.846971127,-0.0147,-0.0446,0.329596413,7.053275118,6.185981531,1.140203068,25.87254902,0.044069994,19.699426031,10.9643763,3.44604464,58.56880184,22.383535960271907,5
US Series,USS1,0.544,0.765,0.404384153,0.691266718,3.685515573,3.290547264,12.12736318,4.799067244,-0.046603216,-0.073268789,0.636058231,5.444447569,4.31977441,1.260354605,13.81157953,0.091253473,13.71244839616,1.643617179,0.334691465,82.91088785,23.985287865434227,25
US Series,USS2,0.548,0.767,0.405093873,0.687459991,3.182556312,4.465497076,14.21169591,4.815286253,-0.046827422,-0.072092832,0.649543379,5.810298246,5.008590787,1.160066472,14.77681531,0.078505852,8.60439584440909,1.6175232335,0.375960336,56.99029935,15.012172963774209,22
US Series,USS3,0.549,0.769,0.406212858,0.685974873,2.728603604,6.115702479,16.68732782,4.821600163,-0.04729674,-0.0723896,0.65336374,6.400021146,5.844537452,1.095043226,16.30046257,0.06717866,8.941966643136364,1.755373481,0.404888031,58.24676689,15.314488175155848,22
US Series,USS4,0.549,0.748,0.396,0.682157461,4.348172277,4.675126904,20.32825719,6.068300152,-0.047194939,-0.07274846,0.648741419,6.611653202,5.777128116,1.144453277,21.21686678,0.05394073,28.82240676652632,9.641724931,0.780630069,115.745905,36.23279232217373,19
US Series,USS5,0.549,0.759,0.402,0.682863931,3.862435567,6.050682261,23.37037037,6.08152341,-0.047626991,-0.072649929,0.655568312,7.158657452,6.53879455,1.094797733,23.0192878,0.047560018,30.243798954631576,10.71666166,0.851741686,121.5541287,37.64921319996621,19
US Series,USS6,0.551,0.761,0.405,0.687565383,3.423680456,7.754424779,26.54867257,6.080143024,-0.046916667,-0.071666667,0.654651163,7.8703628,7.424177898,1.060098897,25.42837105,0.041689611,30.10653793465,11.84389924,0.927387141,124.6038477,37.289627496368894,20
US Series,USS7,0.55,0.757,0.401,0.682619772,5.443629698,5.361179361,29.18427518,7.344375134,-0.048072066,-0.073497222,0.654066438,7.558015229,6.763943823,1.117397694,29.40625144,0.037998644,24.94687163925926,6.63287229,1.422310388,119.2492774,34.32872360495603,27
US Series,USS8,0.551,0.756,0.401,0.682936135,4.948514023,6.509536785,32.21253406,7.35584194,-0.04829978,-0.073845373,0.654066438,8.086081997,7.467411163,1.08284944,31.51020758,0.034365037,25.451470952214287,6.3595166465,1.371485011,125.5987672,35.39148123863828,28
US Series,USS9,0.551,0.757,0.4,0.682037858,4.453959833,8.070336391,35.94495413,7.369375192,-0.048664284,-0.074017356,0.657471264,8.785913474,8.316173122,1.056485158,34.21479452,0.030878021,29.076830752384616,9.251356291,1.673376753,134.8115059,38.34733161316074,26
